"cv_texto","talleres","competencias"
"Gestioné líneas telefónicas y chats en retail, resolviendo reclamos con un NPS de 75.","comunicacion efectiva, servicio al cliente","Atención al Cliente"
"Implementé protocolos de bienvenida y seguimiento post venta en cadena de supermercados.","gestión de reclamos","Atención al Cliente"
"Capacité a cajeros en trato empático y uso de CRM para registrar solicitudes.","escucha activa, comunicacion","Atención al Cliente"
"Atendí más de 80 tickets diarios en mesa de ayuda con métricas de satisfacción altas.","comunicacion efectiva, servicio al cliente","Atención al Cliente"
"Coordiné encuestas rápidas y retroalimentación en sala de ventas para mejorar experiencia.","gestión de reclamos","Atención al Cliente"
"Registré asientos contables diarios y concilié bancos para 5 unidades de negocio.","contabilidad, impuestos","Contabilidad"
"Armé libros IVA, integré facturación electrónica y coordiné cierres mensuales.","gestión financiera","Contabilidad"
"Analicé cuentas patrimoniales aplicando NIIF para reportes corporativos.","normas niif","Contabilidad"
"Controlé obligaciones fiscales y generé declaraciones juradas mensuales.","conciliaciones bancarias","Contabilidad"
"Gestioné provisiones y conciliaciones intercompany en ERP SAP.","contabilidad, impuestos","Contabilidad"
"Prospecté cuentas B2B y construí pipeline con tasa de conversión del 30%.","ventas consultivas","Ventas"
"Lideré demostraciones de producto y negociaciones con grandes cuentas.","negociacion, cierre","Ventas"
"Gestioné cartera en CRM, seguimiento semanal y forecast confiable.","crm","Ventas"
"Abrí mercado regional mediante llamadas en frío y visitas programadas.","prospectacion","Ventas"
"Organicé workshops de storytelling para equipos de venta consultiva.","comunicacion comercial","Ventas"
"Coordiné picking y packing en centro de distribución con WMS Manhattan.","logistica, inventario","Logística"
"Optimicé layout de almacén reduciendo tiempos de preparación en 12%.","gestión de almacenes","Logística"
"Planifiqué rutas urbanas usando herramientas de ruteo dinámico.","planificacion de rutas","Logística"
"Gestioné inventarios cíclicos y reconciliaciones de stock físico vs sistema.","supply chain","Logística"
"Implementé indicadores OTIF y tableros logísticos semanales.","control de stock","Logística"
"Diseñé calendarios de contenido multicanal con foco en audiencias jóvenes.","marketing digital, contenido","Marketing"
