"cv_texto","talleres","competencias"
"Ingeniero electromecánico junior en sector energético con foco en HSE y calidad. Coordiné calibraciones, seguimientos metrológicos y reportes regulatorios. Soporté logística de cuadrillas y tableros de KPIs en Power BI.","hse, calibracion, power bi, sap, iso 9001","Seguridad e Higiene, Calidad, Logística, Ofimática"
"Planifiqué mantenimientos preventivos de equipos rotativos, asegurando disponibilidad y cumplimiento de normas. Elaboré informes técnicos y lideré 5S en taller.","mantenimiento preventivo, 5s, cmms","Mantenimiento, Producción"
"Implementé dashboard de integridad de tuberías con modelos de riesgo y seguimiento de inspecciones. Integré fuentes SQL y Excel, mejorando visibilidad de KPIs.","sql, power bi, excel avanzado, integracion de datos","Analisis de Datos, Ofimática"
"Gestioné auditorías internas ISO 9001 y RCA para no conformidades críticas, alineando acciones con jefaturas de planta.","iso 9001, auditorias, rca","Calidad"
"Coordine logística de herramientas y materiales para operaciones de perforación, optimizando rutas y tiempos de entrega.","planificacion de rutas, wms, supply chain","Logística"
"Desarrollé macros en VBA para automatizar reportes diarios del área de HSE y asistencia. Reduje el esfuerzo manual en 80%.","vba, office 365, automatizacion","Ofimática, Seguridad e Higiene"
"Elaboré análisis de costo-beneficio para implementación de sensores de vibración en flota de bombas. Presentación ejecutiva a gerencia.","analisis financiero, presentaciones, powerpoint","Finanzas, Gestion de Proyectos"
"Modelé procesos en SAP PM y entrené a operadores para registrar OT y tiempos estándar.","sap, capacitacion, estandarizacion","Mantenimiento, Educación"
"Diseñé un sistema neumático para transferencia de cemento a granel, con PLC básico y protocolos de seguridad.","autocad, neumática, seguridad industrial","Producción, Seguridad e Higiene"
"Apoyé pruebas de laboratorio de cemento y control de calidad de lotes, documentando resultados.","laboratorio, control de calidad","Calidad"
"Elaboré KPIs de cumplimiento y reporte semanal de incidentes. Facilitador de charlas de seguridad.","kpi, hse, comunicacion","Seguridad e Higiene, Ofimática"
"Coordiné calibraciones de instrumentos críticos con proveedores, asegurando trazabilidad y certificados vigentes.","calibracion, metrologia, gestion de proveedores","Calidad, Compras"
"Optimicé layout de almacén de repuestos críticos con análisis ABC y ubicación por frecuencia.","abc, wms, inventarios","Logística"
"Desarrollé ETL con Power Query para consolidar hojas de inspección de campo.","power query, etl, excel avanzado","Ofimática, Analisis de Datos"
"Realicé análisis estadístico de fallas repetitivas e implementé acciones preventivas con líderes de turno.","estadistica, rca, cmms","Mantenimiento, Analisis de Datos"
"Diseñé presentaciones para auditorías de clientes y simulacros de emergencia. Comunicación efectiva con áreas.","comunicacion, presentaciones, hse","Seguridad e Higiene, Administración"
"Planifiqué recursos y cronogramas para parada de planta, integrando proveedores y capex menor.","planificacion, raci, ms project","Gestion de Proyectos, Mantenimiento"
"Implementé encuestas de clima y rutinas de feedback en equipos técnicos.","clima laboral, feedback, gestion del talento","RRHH"
"Reduje tiempos de preparación (setup) aplicando SMED en línea de envasado.","lean manufacturing, smed, kaizen","Producción"
"Construí un modelo de scoring para priorizar OT correctivas críticas.","python, sql, analitica","Analisis de Datos, Mantenimiento"
"Ejecuté capacitaciones de buenas prácticas HSE para contratistas y personal nuevo.","induccion, hse, formacion","Seguridad e Higiene, Educación"
"Ingeniera civil junior con enfoque en control de obras y gestión documental. Elaboré cubicaciones y avances valorizados.","ms project, autocad, gestion documental","Gestion de Proyectos, Administración"
"Arquitecto con experiencia en presupuestos y coordinación de proveedores. Implementé flujo digital de RFQ y comparativos.","rfq, procurement, excel avanzado","Compras, Administración"
"Desarrolladora de datos: creé modelos tabulares en Power BI y DAX para ventas y operaciones.","power bi, dax, modelado","Analisis de Datos, Ofimática"
"Analista de ciberseguridad: implementé controles de backup y endurecimiento básico de endpoints.","seguridad basica, backup, itil","Soporte Técnico"
"QA tester: diseñé casos de prueba y gestioné defectos en JIRA para app móvil.","pruebas, jira, casos de prueba","Calidad, Soporte Técnico"
"Ingeniero de software: orquesté pipelines de CI/CD y monitoreo de logs para microservicios.","devops, ci/cd, observabilidad","Soporte Técnico, Gestion de Proyectos"
"Psicóloga organizacional: lideré talleres de comunicación asertiva y trabajo en equipo.","comunicacion, facilitacion, coaching","RRHH, Educación"
"Docente STEM: diseñé rúbricas y aprendizaje basado en proyectos para secundaria.","didáctica, evaluación, abp","Educación"
"Médico general: participé en campañas de salud y coordinación de atenciones primarias.","atención al paciente, protocolos","Salud"
"Enfermera: gestioné inventarios de insumos y registros electrónicos de pacientes.","gestion de stock, historia clinica","Salud, Administración"
"Abogada junior: redacté contratos y controlé cumplimiento de cláusulas con proveedores.","contratos, compliance","Legal"
"Contador: concilié bancos y generé reportes de flujo de caja semanal.","conciliaciones, control de gestión","Contabilidad, Finanzas"
"Vendedor B2B: construí pipeline con cadencias multicanal elevando tasa de respuesta.","crm, secuencias, negociacion","Ventas"
"Marketing digital: optimicé campañas PPC y contenido SEO técnico.","sem, seo, analytics","Marketing"
"Diseñador UX: realicé entrevistas, mapas de viaje y prototipos de alta fidelidad.","ux research, prototipado","Diseño"
"Comex: coordiné DUAs, incoterms y seguimiento de fletes internacionales.","incoterms, aduanas, costos","Comercio Exterior, Logística"
"Ingeniera química: optimicé parámetros de reacción y aseguré control estadístico.","spc, laboratorio, iso","Producción, Calidad"
"Ingeniero biomédico: gestioné mantenimiento y calibración de equipos hospitalarios.","calibracion, cmms, riesgo clinico","Mantenimiento, Salud"
"Ingeniero de petróleo: apoyé planificación de pozos y logística de materiales críticos.","planificacion, supply chain","Gestion de Proyectos, Logística"
"Energías renovables: instalé y monitoreé sistemas fotovoltaicos en autoconsumo.","fotovoltaica, seguridad, pruebas","Producción, Seguridad e Higiene"
"Analista de datos junior: construí ETLs y validaciones de calidad de datos.","python, sql, dq","Analisis de Datos"
"Scrum master: facilité ceremonias y remoción de impedimentos en 2 escuadras.","scrum, kanban, metricas","Gestion de Proyectos"
"Compras: negocié contratos marco y evalué desempeño de proveedores.","procurement, slas, kpis","Compras"
"Administración: gestioné agendas, minutas y canalización de requerimientos internos.","ofimática, organización","Administración"
"Soporte TI: resolví incidencias N1/N2, documenté soluciones y medí SLA.","mesa de ayuda, itil, documentacion","Soporte Técnico"
"RRHH: ejecuté procesos de selección por competencias y onboarding 30-60-90.","entrevistas, onboarding","RRHH"
"Finanzas: elaboré tablero de presupuesto vs real y análisis de variaciones.","power bi, control de gestión","Finanzas, Ofimática"
"Producción: coordiné turnos y analicé OEE con foco en cuellos de botella.","oee, lean, kaizen","Producción"
"Calidad: lideré auditorías de proveedor y homologación de materiales.","auditorias, homologacion","Calidad, Compras"
"Logística: planifiqué rutas urbanas con reducción de tiempos de entrega.","ruteo, wms","Logística"
"Atención al cliente: elevé NPS mediante protocolos y seguimiento post venta.","nps, crm, comunicacion","Atención al Cliente"
"Legal y ventas: soporté negociaciones asegurando cumplimiento normativo en acuerdos.","contratos, negociacion, compliance","Legal, Ventas"
"Educación y marketing: impartí talleres de herramientas digitales para pymes.","didáctica, marketing digital","Educación, Marketing"
"Ingeniería industrial: implementé VSM y mejoras kaizen en flujo de empaque.","vsm, kaizen, 5s","Producción"
"Electrónica: diagnostiqué fallas en tableros y actualicé documentación técnica.","instrumentacion, planos, mantenimiento","Mantenimiento"
"Minas: coordiné seguridad en voladuras y trazabilidad de equipos de medición.","seguridad, metrologia","Seguridad e Higiene, Calidad"
"Data/BI: documenté modelos semánticos y publiqué reportes con gobernanza básica.","power bi, governance, linaje","Analisis de Datos, Ofimática"
"Operaciones: coordiné planes de emergencia y simulacros inter-área.","emergencias, hse, comunicacion","Seguridad e Higiene, Administración"
"Soft skills: lideré iniciativas de mejora, gestión del cambio y comunicación interna.","liderazgo, trabajo en equipo, adaptabilidad","RRHH, Administración"
"Software engineer: desarrollé APIs REST en Python y Node con pruebas unitarias y cobertura >85%.","python, node, rest, testing","Ingeniería de Software"
"Frontend: construí SPA con React y manejo de estado, optimizando rendimiento con memoización.","react, redux, performance","Ingeniería de Software, Diseño"
"DevOps: implementé IaC con Terraform y CI/CD en GitHub Actions, blue/green deploy.","terraform, ci/cd, docker, kubernetes","DevOps/SRE"
"SRE: definí SLO/SLI y alertas con Prometheus y Grafana, postmortems sin culpa.","observabilidad, sre, prometheus","DevOps/SRE"
"Ciberseguridad: apliqué hardening CIS, gestión de parches y respuestas a incidentes.","cis, siem, incident response","Ciberseguridad"
"Pentesting: ejecuté pruebas OWASP Top 10 y recomendaciones de remediación.","owasp, burp, seguridad","Ciberseguridad, Ingeniería de Software"
"Ingeniería de datos: orquesté pipelines en Airflow y modelado en BigQuery.","airflow, etl, bigquery","Ingeniería de Datos, Analisis de Datos"
"DataOps: versionado de datos y pruebas de calidad con Great Expectations.","dataops, dq, pytest","Ingeniería de Datos"
"Product management: definí roadmap, prioricé con RICE y medí impacto con métricas North Star.","product, discovery, analytics","Producto"
"eCommerce: optimicé conversión en checkout y catálogo, integrando medios de pago.","shopify, ga4, ab testing","eCommerce, Marketing"
"Arquitectura/Construcción: supervisé obra civil y controlé seguridad en faenas.","obra, autocad, hse","Arquitectura y Construcción, Seguridad e Higiene"
"Recursos hídricos: modelé caudales y gestioné permisos de uso de agua.","hidrologia, gis, normativa","Recursos Hídricos"
"Agroindustria: gestioné trazabilidad e inocuidad con BPM/HACCP y control de proveedores.","bpm, haccp, supply","Agroindustria, Calidad"
"Biotecnología: ejecuté PCR y cultivos celulares, documentando resultados GxP.","pcr, cultivo, gxp","Biotecnología, Salud"
"Energías renovables: dimensioné sistemas FV y analicé retornos LCOE.","fotovoltaica, pvsyst, lcoe","Energías Renovables, Finanzas"
"Petróleo y gas: planifiqué workovers y coordiné logística de materiales críticos.","pozos, logistica, scada","Petróleo y Gas, Logística"
